time,open,high,low,close,volume,spread,real_volume,pct_from_sma20,pct_from_sma50,rsi,rsi_lag1,macd_hist,bb_position,bb_width,atr_pct,return_1,return_5,body_ratio,volume_ratio,session,dow,momentum_alignment,trend_strength,vol_spike,rsi_extreme,atr_regime,is_london_session,is_ny_session,hour_sin,hour_cos,g2_bias,g2_pass,g3_zones,g3_pass,g4_status,g4_distance_atr,setup_candidate,setup_choch_within_6,setup_choch_age,setup_ready_to_trade,Target
2025-08-26 08:00:00,0.80535,0.80576,0.80481,0.80502,1470,13,0,0.07651623032937781,0.07846951623393351,52.41992079753791,55.904857427216896,9.259061880172512e-05,0.604591571783954,0.7315716651379043,0.17878881447488637,-0.042217145127643185,0.20164301717700006,0.34736842105268445,1.0172306414780985,0,1,3,0.07749287328165566,0,0,2,1,0,0.8660254037844387,-0.4999999999999998,bullish,1,30,1,PASS,0.0,1,1,2,1,1
2025-08-26 09:00:00,0.80503,0.80672,0.80503,0.80658,2260,13,0,0.24602271562098493,0.28155621538515235,64.22601511132021,52.41992079753791,0.00016337450531479775,0.8326699809047167,0.7395398735765424,0.18304800161528736,0.19378400536633755,0.2996878769414346,0.9171597633135908,1.500016593103906,0,1,3,0.26378946550306864,1,0,2,1,0,0.7071067811865476,-0.7071067811865475,bullish,1,28,1,PASS,0.0,1,1,2,1,0
2025-08-26 10:00:00,0.80659,0.80717,0.80568,0.8058,2662,13,0,0.1253119596814787,0.1948191146547877,56.18324236357238,64.22601511132021,0.00014682634333552653,0.6834515481946746,0.6830793248389518,0.1891642733042606,-0.09670460462694042,0.15536635386239617,0.5302013422818886,1.683318578474769,0,1,3,0.1600655371681332,1,0,2,1,0,0.49999999999999994,-0.8660254037844387,bullish,1,29,1,PASS,0.0,1,1,0,1,1
2025-08-26 11:00:00,0.8058,0.80703,0.80558,0.80665,2147,13,0,0.20397312821736338,0.3088914477856476,62.14400366914808,56.18324236357238,0.00018009577234608717,0.8148599893056747,0.647821683114334,0.18675120206143817,0.10548523206750371,0.1266089892382416,0.586206896551711,1.329988230192653,0,1,3,0.25643228800150547,0,0,2,1,0,0.258819045102521,-0.9659258262890682,bullish,1,29,1,PASS,0.0,1,0,-1,0,0
2025-08-26 12:00:00,0.80666,0.80674,0.80552,0.80571,1788,13,0,0.0655752364061894,0.20127060150858683,52.952171193769125,62.14400366914808,0.00012820177088987346,0.6163246437419716,0.5637260884430195,0.18723503848424944,-0.1165313332920026,0.043458825866693473,0.7786885245901699,1.0975385182002333,3,1,3,0.13342291895738811,0,0,2,1,0,1.2246467991473532e-16,-1.0,bullish,1,32,1,PASS,0.0,1,0,-1,0,0
2025-08-26 13:00:00,0.80571,0.80636,0.80553,0.8057,1525,13,0,0.047124095313602114,0.20887524523626744,52.85620486053077,52.952171193769125,8.470757999592347e-05,0.594186253133507,0.5003288032575698,0.18573024344403488,-0.0012411413535917681,0.08446995105710897,0.012048192771163304,0.9467639298463448,3,1,3,0.12799967027493478,0,0,2,1,1,-0.2588190451025208,-0.9659258262890683,bullish,1,32,1,PASS,0.0,1,1,6,1,0
2025-08-26 14:00:00,0.80572,0.80587,0.80421,0.80464,1641,13,0,-0.09206816893608191,0.08918764608052857,43.2658596847311,52.85620486053077,-1.844334772965132e-05,0.2983426987792504,0.45655757752751536,0.1666228730505938,-0.13156261635843824,-0.24052170894393043,0.6506024096385381,1.0235140023701117,3,1,0,0.09062790750830524,0,0,2,1,1,-0.4999999999999997,-0.8660254037844388,bullish,1,32,1,PASS,0.0,1,0,-1,0,0
2025-08-26 15:00:00,0.80463,0.80464,0.80368,0.8044,2305,13,0,-0.12385188680123597,0.07036275133286843,41.30780996623926,43.2658596847311,-0.00010120609982737288,0.22228413824341753,0.4459661973135404,0.1670277758045057,-0.029827003380400452,-0.17374038222883748,0.23958333333326587,1.401343587561176,3,1,0,0.0971073190670522,0,0,2,1,1,-0.7071067811865471,-0.7071067811865479,bullish,1,32,1,PASS,0.0,1,0,-1,0,0
2025-08-26 16:00:00,0.80443,0.80511,0.80409,0.80417,2306,13,0,-0.15005367041707043,0.05185671422523943,39.339162342895776,41.30780996623926,-0.00016598253239047232,0.17180376104572712,0.4572071602501734,0.17187197447590327,-0.028592739930377586,-0.30744436868529457,0.2549019607842369,1.3607931075179984,1,1,0,0.10095519232115494,0,0,2,0,1,-0.8660254037844385,-0.5000000000000004,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-26 17:00:00,0.80414,0.80496,0.80348,0.80384,2374,13,0,-0.1779520733962293,0.02122763414906935,36.46233189277704,39.339162342895776,-0.00022209325930488836,0.13110236375129372,0.48238876021492366,0.14990545382165849,-0.04103609933223673,-0.23209343312110553,0.20270270270267532,1.360068748209682,1,1,0,0.09958985377264931,0,0,2,0,1,-0.9659258262890683,-0.25881904510252063,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-26 18:00:00,0.80386,0.80395,0.80302,0.80306,1971,13,0,-0.2517740318748162,-0.06217335963629001,30.399399411375498,36.46233189277704,-0.000298042826033117,0.004261221038856924,0.5078764110454039,0.14800530826730995,-0.09703423566879144,-0.3276653841380095,0.8602150537633754,1.1165873555404486,1,1,0,0.1569736957555531,0,0,2,0,1,-1.0,-1.8369701987210297e-16,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 19:00:00,0.803,0.80332,0.80249,0.80325,1608,13,0,-0.21206101692387336,-0.042981828915389535,33.50697217505741,30.399399411375498,-0.00031986315763438274,0.1061582391424656,0.5384421816064926,0.14450224534258532,0.023659502403305943,-0.17274806124477626,0.3012048192770762,0.8930108571904589,1,1,0,0.12752142291963145,0,0,2,0,1,-0.9659258262890684,0.2588190451025203,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 20:00:00,0.80324,0.80358,0.80285,0.80357,1357,13,0,-0.16244708045633108,-0.00821267339938722,38.81572406083107,33.50697217505741,-0.00029758714634247176,0.20954769802120876,0.5592900429764641,0.14026691603007704,0.039838157485205805,-0.10318249627051523,0.4520547945206146,0.7376202641735066,2,1,0,0.08532987692785915,0,0,1,0,1,-0.8660254037844386,0.5000000000000001,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-26 21:00:00,0.80357,0.80394,0.80298,0.80317,1134,13,0,-0.19528009926166814,-0.06271199516221115,34.80754072144043,38.81572406083107,-0.00029411060358079145,0.16143418171938273,0.57678622211003,0.1441609052700139,-0.04977786627176073,-0.12435181615827462,0.41666666666663776,0.6114196365989109,2,1,0,0.12899604721193964,0,0,2,0,0,-0.7071067811865477,0.7071067811865474,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 22:00:00,0.80316,0.8034,0.80285,0.80334,964,13,0,-0.1566615978985704,-0.04899632191652121,37.94964775379715,34.80754072144043,-0.000265553043670004,0.2260403724230742,0.5718419143878453,0.140573818593092,0.021166129212990548,-0.062201433121011895,0.3272727272728227,0.5149435111241687,2,1,0,0.1028289599075458,0,0,1,0,0,-0.5000000000000004,0.8660254037844384,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-26 23:00:00,0.80334,0.80375,0.80334,0.80341,794,15,0,-0.1480236788171954,-0.04625633474159694,39.33874305000998,37.94964775379715,-0.00022854873986931975,0.24102242954599043,0.5715694936735153,0.12909259993563427,0.008713620633837849,0.04358329390081739,0.17073170731687504,0.4586281588447653,2,1,0,0.09714000677939616,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-27 00:00:00,0.80265,0.80428,0.80192,0.80276,895,13,0,-0.22006623738938524,-0.13097576948262754,31.72847135853644,39.33874305000998,-0.00023361781653078936,0.13680388074955854,0.6059157180521493,0.1369382772292754,-0.08090514183293207,-0.061002178649238736,0.04661016949154795,0.534200787871553,2,2,0,0.1755210034360064,0,0,1,0,0,0.0,1.0,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 01:00:00,0.80276,0.80361,0.8025,0.80344,1002,14,0,-0.1286553342241845,-0.05219816992917226,44.65306073673744,31.72847135853644,-0.00017938198845695861,0.29180011634505276,0.6179414318857492,0.13379966145574235,0.08470775823410381,-0.016177806538320016,0.6126126126125946,0.6099713885676021,2,2,0,0.09042675207667837,0,0,1,0,0,0.25881904510252074,0.9659258262890683,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 02:00:00,0.80344,0.8038,0.80335,0.80376,855,13,0,-0.07726433290671808,-0.021469461494667365,49.81206004030784,44.65306073673744,-0.00011338363788744083,0.37279865226764697,0.6074175650189773,0.126903553299494,0.039828736433333845,0.07345891903332014,0.7111111111111604,0.5307262569832403,2,2,0,0.04936689720069272,0,0,1,0,0,0.49999999999999994,0.8660254037844387,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 03:00:00,0.80376,0.8041,0.80351,0.804,1480,13,0,-0.038977339059938144,0.0038558700646421995,53.55824849240235,49.81206004030784,-4.831949754905015e-05,0.43478783310655755,0.5977004126182102,0.12473347547974657,0.029859659599873467,0.08215699454776626,0.40677966101691726,0.9097055750199766,2,2,1,0.02141660456229017,0,0,1,0,0,0.7071067811865476,0.7071067811865476,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 04:00:00,0.804,0.8044,0.80367,0.8043,1518,13,0,0.0027975418931805696,0.036367815428606697,58.072137661892434,53.55824849240235,1.6687517903312017e-05,0.5047257075411127,0.5919837122468021,0.11642777215325029,0.03731343283581712,0.11077780958663741,0.41095890410953906,0.9316884551647947,2,2,3,0.019582678660893634,0,0,1,0,0,0.8660254037844386,0.5000000000000001,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 05:00:00,0.80431,0.80484,0.80427,0.80443,1202,13,0,0.032331472201142415,0.04872902804867396,60.01528746767936,58.072137661892434,6.736391633676577e-05,0.5612324763558196,0.5280118349822313,0.11294599015096915,0.01616312321273128,0.20803228860430956,0.21052631578950443,0.7624968282161887,2,2,3,0.040530250124908185,0,0,1,0,0,0.9659258262890683,0.25881904510252074,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 06:00:00,0.80443,0.80476,0.80424,0.80463,752,13,0,0.06448110740860905,0.07029284206943674,63.0547495366952,60.01528746767936,0.00011071532158401633,0.6299803491948858,0.4960835065301249,0.10847931879959227,0.024862324875996045,0.14811311361146995,0.38461538461528605,0.5077993112296576,2,2,3,0.06738697473902289,0,0,0,0,0,1.0,6.123233995736766e-17,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 07:00:00,0.80462,0.80523,0.80462,0.80518,940,13,0,0.14203308798837572,0.13396297090372034,70.23432928089184,63.0547495366952,0.00016928685043575355,0.8388774133919333,0.41912822270071276,0.10068733521874605,0.06835439891628159,0.1766696526326328,0.9180327868852548,0.6617155327162015,0,2,3,0.13799802944604803,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,neutral,0,0,0,FAIL,,0,0,-1,0,0
2025-08-27 08:00:00,0.80518,0.80537,0.80485,0.80504,1181,13,0,0.12879281148300237,0.11050157967764604,66.44207997064989,70.23432928089184,0.0001899076145633111,0.8302906094583277,0.3899378541043626,0.09706704901974855,-0.017387416478309436,0.1293532338308312,0.26923076923078565,0.8495180549561214,0,2,3,0.1196471955803242,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 09:00:00,0.80501,0.80544,0.8049,0.80526,1385,13,0,0.15889649339381534,0.13183291017979198,69.43449337934862,66.44207997064989,0.00020820212116688235,0.9324329018866422,0.3674477420672038,0.09446815757821139,0.027327834641766025,0.11935844834016773,0.4629629629628297,1.0013013302486986,0,2,3,0.14536470178680366,0,0,0,1,0,0.7071067811865476,-0.7071067811865475,neutral,0,0,0,FAIL,,0,0,-1,0,1
2025-08-27 10:00:00,0.80528,0.8061,0.8051,0.80557,1777,13,0,0.19165975356609072,0.16457642831849686,73.30480998726414,69.43449337934862,0.0002293486013495848,0.9767183896136813,0.40203977388287077,0.09682585001924336,0.03849688299430998,0.14171525179320632,0.2900000000000122,1.2784172661870503,0,2,3,0.1781180909422938,0,1,0,1,0,0.49999999999999994,-0.8660254037844387,neutral,0,0,0,FAIL,,0,0,-1,0,1
